Incident,Date/Time of Request,Original Description of Expenditure,Amount Requested,Expenditure Not to Exceed,Approved Amount,Brief Description
22-1989 - CSRD EOC Activation Freshet,2022-06-15,"Requesting: Geotechnical analysis in Sicamous and Wiseman Creek 
As is the case with Hummingbird Creek, The Shuswap Emergency Program (SEP) has been made aware of a significant change in
volume, colour, and consistency of the Sicamous Creek and Wiseman Creek through the night in Sicamous BC. Residents are reporting
that the creeks has changed from the colour of weak tea yesterday to solid brown this morning with an significant increase of volume and
intensity. The Fire Chief in Sicamous has further reported hearing boulders moving in the Sicamous Creek yesterday. 
Sicamous and Wiseman creeks are highly susceptible to debris flow/flood. Sicamous Creek is consistently at risk of Debris Flow/Flood
according to a geotechnical risk analysis of the watershed, and Wiseman Creek is vulnerable to debris flow due to the post wildfire
conditions resulting from the Two Mile Road Fire (2021). If a Debris flow or severe debris flood were to occur in these watersheds there
would be a high potential for loss of life. 
SEP has hired a geotechnical engineer to assess a very similar situation in Hummingbird Creek and staff are there today conducting their
assessment. Wiseman Creek and Sicamous Creek are the next two creek draws to the North of Hummingbird Creek and originate in the
same general area. While engineers are in the area for Hummingbird Creek, SEP is requesting funding to cover the cost of a geotechnical
analysis in Sicamous and Wiseman Creek to determine the current risk followed by a brief report on the findings. The analysis will require
one day of ground level fieldwork for two geotechnical engineers.",8000.0,8500.0,8500.0,Request for geotechnical analysis related to safety concerns.
24-4681 - CSRD Seymour Arm Wildfires,2024-07-26,"Currently the SEP EOC is activated to a level 2 in support of 7 wildfires burning in the SEP coverage area. The
activation of the EOC has depleted stationary supplies. In addition, SEP has been supporting the Revelstoke and Golden Emergency
Programs with mapping for the fires they are dealing with in the CSRD Electoral Areas A and B.
Plotter Ink $1,415 Post-it self-stick wall pads $200
Dry Erase & Flipchart Markers $40 11x17 paper $50
Sharpies $6
Notebooks $75
Tape $20
Post-its notes $15
White out $10",1800.0,2300.0,2300.0,Expense request for EOC activation and operational costs.
22-1014 - Landslide/debris erosion,2022-04-08,"Residents along Newsome Creek have reported large slope failures/landslides and trees coming down due to
the current Freshet. These slope failures have been significant enough to shake the houses and produce load rumbling and booming
noises. The slope is now significantly undercut in several places below the Trans-Canada Highway culvert crossing, houses and a garage.
Other properties may also be at risk. There is still significant snowpack in the watershed with rain in the forecast for the next few days so
the erosion and risk will increase.
SEP is requesting monies to cover the costs of a Qualified Professional Geotechnical Engineer to immediately assess the slopes for public
safety, recommend to the CSRD if an Evacuation Alert or Order is necessary for any residents, and produce a report on their assessment.
A verbal estimate of $2,500 was received from Westrek to complete this task.",2500.0,4000.0,4000.0,Request for funds to address landslide or debris-related concerns.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-06,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The EOC is currently short-staffed in the logistics department, and the City of Vernon has provided one
of their experienced logistics staff members (Leah Walker) to support the needs of the EOC. Estimated
duration for the use of the additional staff member is August 22, 2023 up to and including September 8,
2023.
The City of Vernon has provided the following daily rates based on 12-hour days:
Monday  Friday: $71.85 x 12 = $862.20
Saturday  Sunday: $116.07 x 12 = $1,392.84
For the period of August 22 to September 8, it is estimated that we will need the extra staff member for
10 weekdays and 4 weekend days for a total of $14,193.36.
Resource request RR2023-13 for this additional support staff has been approved.",15000.0,20000.0,20000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-28,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area.
This funding request is for Crisis Incident Stress Management (CISM) facilitators to provide support and debriefing for first responders
and EOC personnel who experienced traumatic events during the response to the Bush Creek East Wildfire.
The cost breakdown below is provided by Fire Within Crisis Services Inc:
2 Facilitators x $1,500.00/day x 8 days = $24,000.00
2 Facilitators x $750/day (travel day rate) x 2 days = $3,000.00
Mileage @ $0.61/km = $2,368.00
Accommodations: 2 rooms x $200.00/night x 10 nights = $4,000
Per Diem Meals = 2 facilitators x 58.85/day x 8 days = $941.60
Total cost = 34,309.60",34000.0,36000.0,3000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-20,"Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
An evacuation order has been issued for the properties in Sorrento and Skimikin in Electoral Areas G
and C in the CSRD and Lee Creek, Scotch Creek and Celista in Area F.
Ten porta-potties have been requested to be delivered to the Scotch Creek Market for First
Responders to use while working in the Order Area as many structures have been lost.
The price quote from the company is $300 per unit per week plus delivery",4000.0,5000.0,5000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-09-28,"Currently the SEP EOC is activated to a level 3 in support of wildfires in our area. 
EOC Staff and essential workers traveled in CSRD owned fleet vehicles during the wildfire to provide security, public safety, and CISM as
well as deliver supplies to the essential public lands and critical infrastructure in electoral areas C, F and G. While road closures were in
place on the Squilax-Anglemont Highway, decaled CSRD vehicles were required to efficiently pass through checkpoints. 
It was agreed upon in a discussion between the SEP EOC Director and Andrew Morrison that fuel for CSRD fleet vehicles used during the
Bush Creek East response may be reimbursed at actual cost as an incremental cost.",80000.0,95000.0,95000.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-24,"Original:
Currently the SEP EOC is activated to a level 3 in support of wildfires fires in our area.
The Anglemont-Squilax Road is completely closed to traffic at this time. We require a barge to bring
supplies (food, meals, fuel and people) over to the north shore Will be docking at Anglemont or St. Ives
and disembarking at whitehead boat launch. I need to get over at a minimum 6 shipments today.
A quote for a day rate for use of the barge is attached. We anticipate one week at this time",56000.0,60000.0,60000.0,Expense request for EOC activation and operational costs.
24-5422 - CSRD EOC Activation - Hullcar fire K41796,2024-08-10,"Currently the SEP EOC is activated to a level 2 in support of wildfires fires in our area. The Hullcar Mountain
fire is being reported as out-of-control and an Evacuation Order and Alert have been placed on a large area of Silver Creek and Deep
Creek. 
The EOC presently has 20 workstations operating in a 23ft x 46ft room and noise levels are very elevated. In order to reduce this noise, the
EOC would like to outfit each station with a headset. 
20 headsets X $40/ headset = $800, plus $40 delivery charge.",840.0,900.0,900.0,Expense request for EOC activation and operational costs.
23-5162 - CSRD K21620 Lower East Adams Lake,2023-08-19,"There are approximately 100 evacuees stranded in the remote community of Seymour Arm which has
been cut-off from other communities due to wildfire. These evacuees have limited access to food and
beverages. Shuswap Lifeboat Society will transport the food to the community via boat. We are looking
to provide a meals and beverages for tomorrow. SEP is requesting funds for $30-40 per evacuee",3000.0,4000.0,4000.0,Funds requested for temporary housing or evacuee support.
